,id_No,lake_name,source,metadata
24,25,Beysehir,hydroweb,"{'basin': 'Beysehir', 'source': 'hydroweb', 'status': 'operational', 'country': 'Turkey', 'end_date': '2020-09-29 08:36', 'latitude': 37.78, 'lake_name': 'Beysehir', 'longitude': 31.55, 'identifier': 'L_beysehir', 'start_date': '1992-10-14 16:13'}"
25,26,Bluenose,hydroweb,"{'basin': 'ArcticOcean', 'source': 'hydroweb', 'status': 'research', 'country': 'Canada', 'end_date': '2020-03-31 18:42', 'latitude': 68.35, 'lake_name': 'Bluenose', 'longitude': -119.7, 'identifier': 'L_bluenose', 'start_date': '2016-03-16 23:54'}"
26,27,Bogoria,hydroweb,"{'basin': 'Greatriftvalley', 'source': 'hydroweb', 'status': 'operational', 'country': 'Kenya', 'end_date': '2020-10-01 19:35', 'latitude': 0.25, 'lake_name': 'Bogoria', 'longitude': 36.1, 'identifier': 'L_bogoria', 'start_date': '2016-03-03 23:54'}"
27,28,Bolon,hydroweb,"{'basin': 'Amur', 'source': 'hydroweb', 'status': 'research', 'country': 'Russia', 'end_date': '2020-03-30 19:11', 'latitude': 48.84, 'lake_name': 'Bolon', 'longitude': 136.38, 'identifier': 'L_bolon', 'start_date': '2008-07-16 00:41'}"
28,29,Bosten,hydroweb,"{'basin': 'Tarim', 'source': 'hydroweb', 'status': 'operational', 'country': 'China', 'end_date': '2020-10-01 13:33', 'latitude': 42.0, 'lake_name': 'Bosten', 'longitude': 87.0, 'identifier': 'L_bosten', 'start_date': '2002-10-01 18:00'}"
29,30,Bratskoye,hydroweb,"{'basin': 'Yenisei', 'source': 'hydroweb', 'status': 'operational', 'country': 'Russia', 'end_date': '2020-10-06 14:18', 'latitude': 56.11, 'lake_name': 'Bratskoye', 'longitude': 102.11, 'identifier': 'L_bratskoye', 'start_date': '1992-09-28 04:56'}"
30,31,Buyo,hydroweb,"{'basin': 'sassandra', 'source': 'hydroweb', 'status': 'research', 'country': 'Cote-Ivoire', 'end_date': '2020-04-08 06:21', 'latitude': 6.33, 'lake_name': 'Buyo', 'longitude': -7.07, 'identifier': 'L_buyo', 'start_date': '1995-06-25 01:23'}"
31,32,Cahora_bassa,hydroweb,"{'basin': 'Zambezi', 'source': 'hydroweb', 'status': 'operational', 'country': 'Mozambique', 'end_date': '2020-10-03 05:59', 'latitude': -15.68, 'lake_name': 'Cahora_bassa', 'longitude': 31.78, 'identifier': 'L_cahora_bassa', 'start_date': '2002-09-28 02:24'}"
32,33,Caniapiscau,hydroweb,"{'basin': 'Caniapiscau', 'source': 'hydroweb', 'status': 'research', 'country': 'Canada', 'end_date': '2015-01-05 23:45', 'latitude': 54.52, 'lake_name': 'Caniapiscau', 'longitude': -69.81, 'identifier': 'L_caniapiscau', 'start_date': '2002-11-18 04:48'}"
33,34,Caribou,hydroweb,"{'basin': 'Churchill', 'source': 'hydroweb', 'status': 'operational', 'country': 'Canada', 'end_date': '2020-10-04 18:02', 'latitude': 57.62, 'lake_name': 'Caribou', 'longitude': -102.26, 'identifier': 'L_caribou', 'start_date': '1992-09-28 04:56'}"
34,35,Caspian,hydroweb,"{'basin': 'Caspian', 'source': 'hydroweb', 'status': 'operational', 'country': 'Russia&Kazakstan&Turkmenistan&', 'end_date': '2020-10-04 06:41', 'latitude': 42.0, 'lake_name': 'Caspian', 'longitude': 50.0, 'identifier': 'L_caspian', 'start_date': '1992-09-27 02:35'}"
35,36,Cedar,hydroweb,"{'basin': 'Nelson', 'source': 'hydroweb', 'status': 'operational', 'country': 'Canada', 'end_date': '2020-10-06 00:17', 'latitude': 53.4, 'lake_name': 'Cedar', 'longitude': -100.4, 'identifier': 'L_cedar', 'start_date': '1992-10-01 03:12'}"
36,37,Chagbo-co,hydroweb,"{'basin': 'Mongolian', 'source': 'hydroweb', 'status': 'research', 'country': 'China', 'end_date': '2020-03-25 19:25', 'latitude': 33.38, 'lake_name': 'Chagbo-co', 'longitude': 84.19, 'identifier': 'L_chagbo-co', 'start_date': '2016-04-23 12:37'}"
37,38,Champlain,hydroweb,"{'basin': 'St-Lawrence', 'source': 'hydroweb', 'status': 'research', 'country': 'USA&Canada', 'end_date': '2014-10-20 17:32', 'latitude': 44.5, 'lake_name': 'Champlain', 'longitude': -73.32, 'identifier': 'L_champlain', 'start_date': '2002-10-26 13:40'}"
38,39,Chapala,hydroweb,"{'basin': 'Santiago', 'source': 'hydroweb', 'status': 'operational', 'country': 'Mexico', 'end_date': '2020-09-23 17:05', 'latitude': 20.24, 'lake_name': 'Chapala', 'longitude': -103.06, 'identifier': 'L_chapala', 'start_date': '2011-03-20 13:14'}"
39,40,Chardarya,hydroweb,"{'basin': 'Aral-Drainage', 'source': 'hydroweb', 'status': 'operational', 'country': 'Kazakhstan', 'end_date': '2020-10-05 05:10', 'latitude': 41.12, 'lake_name': 'Chardarya', 'longitude': 68.16, 'identifier': 'L_chardarya', 'start_date': '1992-09-30 00:51'}"
40,41,Chiquita,hydroweb,"{'basin': 'Lake Mar Chiquita', 'source': 'hydroweb', 'status': 'research', 'country': 'Argentina', 'end_date': '2020-03-28 19:03', 'latitude': -30.75, 'lake_name': 'Chiquita', 'longitude': -62.58, 'identifier': 'L_chiquita', 'start_date': '1995-06-01 16:02'}"
41,42,Chukchagirskoye,hydroweb,"{'basin': 'Amur', 'source': 'hydroweb', 'status': 'research', 'country': 'Russia', 'end_date': '2019-08-06 22:07', 'latitude': 52.0, 'lake_name': 'Chukchagirskoye', 'longitude': 136.58, 'identifier': 'L_chukchagirskoye', 'start_date': '2008-07-09 00:23'}"
42,43,Cochrane,hydroweb,"{'basin': 'Baker', 'source': 'hydroweb', 'status': 'research', 'country': 'Chile&Argentina', 'end_date': '2020-04-08 06:21', 'latitude': -47.3, 'lake_name': 'Cochrane', 'longitude': -72.0, 'identifier': 'L_cochrane', 'start_date': '2008-02-13 12:03'}"
43,44,Dagze-co,hydroweb,"{'basin': 'Mongolian', 'source': 'hydroweb', 'status': 'operational', 'country': 'China', 'end_date': '2020-09-13 15:48', 'latitude': 31.9, 'lake_name': 'Dagze-co', 'longitude': 87.55, 'identifier': 'L_dagze-co', 'start_date': '1993-02-02 11:38'}"
44,45,Dalai,hydroweb,"{'basin': 'Mongolian', 'source': 'hydroweb', 'status': 'research', 'country': 'China', 'end_date': '2020-04-10 05:24', 'latitude': 43.37, 'lake_name': 'Dalai', 'longitude': 116.62, 'identifier': 'L_dalai', 'start_date': '2016-03-16 23:54'}"
45,46,Des_bois,hydroweb,"{'basin': 'Nelson', 'source': 'hydroweb', 'status': 'operational', 'country': 'USA&Canada', 'end_date': '2020-10-06 00:18', 'latitude': 49.25, 'lake_name': 'Des_bois', 'longitude': -94.65, 'identifier': 'L_des_bois', 'start_date': '1992-09-30 00:51'}"
46,47,Dogaicoring,hydroweb,"{'basin': 'Mongolian', 'source': 'hydroweb', 'status': 'research', 'country': 'China', 'end_date': '2019-06-16 01:24', 'latitude': 34.6, 'lake_name': 'Dogaicoring', 'longitude': 88.9, 'identifier': 'L_dogaicoring', 'start_date': '1995-06-10 23:09'}"
47,48,Dogaicoring-q,hydroweb,"{'basin': 'Tarim', 'source': 'hydroweb', 'status': 'operational', 'country': 'China', 'end_date': '2020-09-25 15:38', 'latitude': 35.3, 'lake_name': 'Dogaicoring-q', 'longitude': 89.26, 'identifier': 'L_dogaicoring-q', 'start_date': '2002-10-16 17:09'}"
48,49,Dongting,hydroweb,"{'basin': 'Yangtze', 'source': 'hydroweb', 'status': 'research', 'country': 'China', 'end_date': '2015-02-15 09:39', 'latitude': 29.33, 'lake_name': 'Dongting', 'longitude': 112.92, 'identifier': 'L_dongting', 'start_date': '1992-11-17 01:55'}"
49,50,Dorgon,hydroweb,"{'basin': 'Mongolian', 'source': 'hydroweb', 'status': 'operational', 'country': 'Mongolia', 'end_date': '2020-10-06 03:41', 'latitude': 47.68, 'lake_name': 'Dorgon', 'longitude': 93.45, 'identifier': 'L_dorgon', 'start_date': '2008-07-09 23:55'}"
50,51,Dubawnt,hydroweb,"{'basin': 'Thelon', 'source': 'hydroweb', 'status': 'operational', 'country': 'Canada', 'end_date': '2020-09-29 20:02', 'latitude': 63.1, 'lake_name': 'Dubawnt', 'longitude': -101.42, 'identifier': 'L_dubawnt', 'start_date': '2008-07-14 00:26'}"
51,52,Edouard,hydroweb,"{'basin': 'Nile', 'source': 'hydroweb', 'status': 'operational', 'country': 'Congo&Uganda', 'end_date': '2020-09-30 20:01', 'latitude': -0.34, 'lake_name': 'Edouard', 'longitude': 29.6, 'identifier': 'L_edouard', 'start_date': '1995-05-26 15:40'}"
52,53,Erie,hydroweb,"{'basin': 'St-Lawrence', 'source': 'hydroweb', 'status': 'operational', 'country': 'USA&Canada', 'end_date': '2020-10-06 14:54', 'latitude': 42.0, 'lake_name': 'Erie', 'longitude': -81.0, 'identifier': 'L_erie', 'start_date': '1992-09-28 22:30'}"
53,54,Fort_peck,hydroweb,"{'basin': 'Mississippi', 'source': 'hydroweb', 'status': 'operational', 'country': 'USA', 'end_date': '2020-10-01 02:16', 'latitude': 47.87, 'lake_name': 'Fort_peck', 'longitude': -106.53, 'identifier': 'L_fort_peck', 'start_date': '1992-10-16 03:21'}"
54,55,General_carrera,hydroweb,"{'basin': 'Baker', 'source': 'hydroweb', 'status': 'research', 'country': 'Argentina&Chile', 'end_date': '2020-04-08 06:21', 'latitude': -46.49, 'lake_name': 'General_carrera', 'longitude': -72.0, 'identifier': 'L_general_carrera', 'start_date': '1995-06-05 01:14'}"
55,56,Grande_trois,hydroweb,"{'basin': 'Grande-Riviere-Baleine', 'source': 'hydroweb', 'status': 'operational', 'country': 'Canada', 'end_date': '2020-10-02 23:12', 'latitude': 53.83, 'lake_name': 'Grande_trois', 'longitude': -75.38, 'identifier': 'L_grande_trois', 'start_date': '1992-10-14 16:13'}"
56,57,Great_bear,hydroweb,"{'basin': 'MacKenzie River', 'source': 'hydroweb', 'status': 'research', 'country': 'Canada', 'end_date': '2010-10-09 21:00', 'latitude': 66.0, 'lake_name': 'Great_bear', 'longitude': -120.0, 'identifier': 'L_great_bear', 'start_date': '2002-09-25 06:35'}"
57,58,Great_salt,hydroweb,"{'basin': 'Bear', 'source': 'hydroweb', 'status': 'research', 'country': 'USA', 'end_date': '2019-10-26 17:53', 'latitude': 41.1, 'lake_name': 'Great_salt', 'longitude': -112.49, 'identifier': 'L_great_salt', 'start_date': '1995-05-25 16:06'}"
58,59,Greatslave,hydroweb,"{'basin': 'Mackenzie River', 'source': 'hydroweb', 'status': 'operational', 'country': 'Canada', 'end_date': '2020-10-06 00:13', 'latitude': 61.83, 'lake_name': 'Greatslave', 'longitude': -114.0, 'identifier': 'L_greatslave', 'start_date': '1992-10-01 12:00'}"
59,60,Guri,hydroweb,"{'basin': 'Orinoco', 'source': 'hydroweb', 'status': 'operational', 'country': 'Venezuela', 'end_date': '2020-10-05 00:12', 'latitude': 7.41, 'lake_name': 'Guri', 'longitude': -62.8, 'identifier': 'L_guri', 'start_date': '1992-09-30 00:51'}"
60,61,Har,hydroweb,"{'basin': 'Mongolian', 'source': 'hydroweb', 'status': 'operational', 'country': 'Mongolia', 'end_date': '2020-10-06 03:41', 'latitude': 48.1, 'lake_name': 'Har', 'longitude': 93.23, 'identifier': 'L_har', 'start_date': '1992-10-13 13:52'}"
61,62,Hinojo,hydroweb,"{'basin': 'Salado', 'source': 'hydroweb', 'status': 'research', 'country': 'Argentina', 'end_date': '2020-04-03 05:31', 'latitude': -35.97, 'lake_name': 'Hinojo', 'longitude': -62.43, 'identifier': 'L_hinojo', 'start_date': '2016-03-09 23:36'}"
62,63,Hongze,hydroweb,"{'basin': 'Yangtze', 'source': 'hydroweb', 'status': 'operational', 'country': 'China', 'end_date': '2020-09-28 12:31', 'latitude': 33.3, 'lake_name': 'Hongze', 'longitude': 118.68, 'identifier': 'L_hongze', 'start_date': '1992-10-13 13:52'}"
63,64,Hovsgol,hydroweb,"{'basin': 'Yenisei', 'source': 'hydroweb', 'status': 'operational', 'country': 'Mongolia', 'end_date': '2020-10-05 11:10', 'latitude': 51.0, 'lake_name': 'Hovsgol', 'longitude': 100.41, 'identifier': 'L_hovsgol', 'start_date': '1992-10-14 16:13'}"
64,65,Huapi,hydroweb,"{'basin': 'Chubut', 'source': 'hydroweb', 'status': 'research', 'country': 'Argentina', 'end_date': '2020-04-11 06:00', 'latitude': -45.58, 'lake_name': 'Huapi', 'longitude': -68.8, 'identifier': 'L_huapi', 'start_date': '1992-10-19 19:12'}"
65,66,Hulun,hydroweb,"{'basin': 'Amur', 'source': 'hydroweb', 'status': 'operational', 'country': 'China', 'end_date': '2020-09-30 11:16', 'latitude': 49.0, 'lake_name': 'Hulun', 'longitude': 117.5, 'identifier': 'L_hulun', 'start_date': '1992-10-16 03:21'}"
66,67,Huron,hydroweb,"{'basin': 'St-Lawrence', 'source': 'hydroweb', 'status': 'operational', 'country': 'USA&Canada', 'end_date': '2020-10-05 02:54', 'latitude': 44.67, 'lake_name': 'Huron', 'longitude': -82.28, 'identifier': 'L_huron', 'start_date': '1992-09-28 04:56'}"
67,68,Hyargas,hydroweb,"{'basin': 'Mongolian', 'source': 'hydroweb', 'status': 'research', 'country': 'Mongolia', 'end_date': '2020-04-10 05:24', 'latitude': 49.17, 'lake_name': 'Hyargas', 'longitude': 93.33, 'identifier': 'L_hyargas', 'start_date': '1995-06-09 01:31'}"
68,69,Iguazu,hydroweb,"{'basin': 'Parana', 'source': 'hydroweb', 'status': 'research', 'country': 'Paraguay', 'end_date': '2014-12-25 01:11', 'latitude': -25.31, 'lake_name': 'Iguazu', 'longitude': -55.16, 'identifier': 'L_iguazu', 'start_date': '1995-06-20 01:38'}"
69,70,Ilha_solteira,hydroweb,"{'basin': 'Parana', 'source': 'hydroweb', 'status': 'research', 'country': 'Brazil', 'end_date': '2014-10-23 17:10', 'latitude': -20.2, 'lake_name': 'Ilha_solteira', 'longitude': -51.04, 'identifier': 'L_ilha_solteira', 'start_date': '2002-10-30 22:47'}"
70,71,Iliamna,hydroweb,"{'basin': 'Illiamna', 'source': 'hydroweb', 'status': 'operational', 'country': 'USA', 'end_date': '2020-10-06 21:20', 'latitude': 59.56, 'lake_name': 'Iliamna', 'longitude': -154.9, 'identifier': 'L_iliamna', 'start_date': '2008-07-26 00:50'}"
71,72,Illmen,hydroweb,"{'basin': 'Neva', 'source': 'hydroweb', 'status': 'research', 'country': 'Russia', 'end_date': '2020-03-25 19:25', 'latitude': 58.27, 'lake_name': 'Illmen', 'longitude': 31.3, 'identifier': 'L_illmen', 'start_date': '1995-06-02 15:31'}"
72,73,Issykkul,hydroweb,"{'basin': 'Issyk-Kul', 'source': 'hydroweb', 'status': 'operational', 'country': 'Kyrgyzstan', 'end_date': '2020-10-05 16:21', 'latitude': 42.42, 'lake_name': 'Issykkul', 'longitude': 77.33, 'identifier': 'L_issykkul', 'start_date': '1992-09-28 22:30'}"
73,74,Itaparica,hydroweb,"{'basin': 'Sao-Francisco', 'source': 'hydroweb', 'status': 'research', 'country': 'Brazil', 'end_date': '2010-09-24 10:48', 'latitude': -8.95, 'lake_name': 'Itaparica', 'longitude': -38.51, 'identifier': 'L_itaparica', 'start_date': '2002-10-01 18:00'}"
74,75,Izabal,hydroweb,"{'basin': 'Motagua', 'source': 'hydroweb', 'status': 'research', 'country': 'Guatemala', 'end_date': '2010-10-04 09:35', 'latitude': 15.5, 'lake_name': 'Izabal', 'longitude': -89.17, 'identifier': 'L_izabal', 'start_date': '2002-10-19 00:00'}"
75,76,Jingyu,hydroweb,"{'basin': 'Mongolian', 'source': 'hydroweb', 'status': 'research', 'country': 'China', 'end_date': '2014-10-20 17:32', 'latitude': 36.32, 'lake_name': 'Jingyu', 'longitude': 89.45, 'identifier': 'L_jingyu', 'start_date': '1995-07-16 08:52'}"
76,77,Kabele,hydroweb,"{'basin': 'Congo', 'source': 'hydroweb', 'status': 'operational', 'country': 'RDC', 'end_date': '2020-10-03 20:21', 'latitude': -8.94, 'lake_name': 'Kabele', 'longitude': 25.98, 'identifier': 'L_kabele', 'start_date': '2016-03-06 00:07'}"
77,78,Kabwe,hydroweb,"{'basin': 'Congo', 'source': 'hydroweb', 'status': 'operational', 'country': 'RDC', 'end_date': '2020-10-03 20:21', 'latitude': -9.15, 'lake_name': 'Kabwe', 'longitude': 26.02, 'identifier': 'L_kabwe', 'start_date': '2016-03-06 00:07'}"
78,79,Kainji,hydroweb,"{'basin': 'Niger', 'source': 'hydroweb', 'status': 'operational', 'country': 'Nigeria', 'end_date': '2020-07-26 22:32', 'latitude': 10.31, 'lake_name': 'Kainji', 'longitude': 4.56, 'identifier': 'L_kainji', 'start_date': '1992-11-18 01:55'}"
79,80,Kairakum,hydroweb,"{'basin': 'Aral-Drainage', 'source': 'hydroweb', 'status': 'operational', 'country': 'Tadjikistan', 'end_date': '2020-09-30 16:51', 'latitude': 40.3, 'lake_name': 'Kairakum', 'longitude': 70.1, 'identifier': 'L_kairakum', 'start_date': '2008-07-23 01:04'}"
80,81,Kamskoye,hydroweb,"{'basin': 'Volga', 'source': 'hydroweb', 'status': 'research', 'country': 'Russia', 'end_date': '2020-02-28 09:53', 'latitude': 58.8, 'lake_name': 'Kamskoye', 'longitude': 56.3, 'identifier': 'L_kamskoye', 'start_date': '2008-07-07 00:04'}"
81,82,Kapchagayskoye,hydroweb,"{'basin': 'Balkhash', 'source': 'hydroweb', 'status': 'operational', 'country': 'Kazakhstan', 'end_date': '2020-10-02 13:54', 'latitude': 43.81, 'lake_name': 'Kapchagayskoye', 'longitude': 77.57, 'identifier': 'L_kapchagayskoye', 'start_date': '1992-11-18 01:55'}"
82,83,Kara_bogaz_gol,hydroweb,"{'basin': 'Caspian', 'source': 'hydroweb', 'status': 'operational', 'country': 'Turkmenistan', 'end_date': '2020-10-05 14:59', 'latitude': 41.3, 'lake_name': 'Kara_bogaz_gol', 'longitude': 53.6, 'identifier': 'L_kara_bogaz_gol', 'start_date': '1992-10-17 14:29'}"
83,84,Karasor,hydroweb,"{'basin': 'Karasor', 'source': 'hydroweb', 'status': 'operational', 'country': 'Kazakstan', 'end_date': '2020-09-18 05:40', 'latitude': 49.87, 'lake_name': 'Karasor', 'longitude': 75.39, 'identifier': 'L_karasor', 'start_date': '2016-03-18 00:35'}"
84,85,Kariba,hydroweb,"{'basin': 'Zambezi', 'source': 'hydroweb', 'status': 'operational', 'country': 'Zambia&Zimbabwe', 'end_date': '2020-10-03 20:19', 'latitude': -16.93, 'lake_name': 'Kariba', 'longitude': 28.0, 'identifier': 'L_kariba', 'start_date': '1992-09-26 00:14'}"
85,86,Kasba,hydroweb,"{'basin': 'Thlewiaza', 'source': 'hydroweb', 'status': 'operational', 'country': 'Canada', 'end_date': '2020-09-28 19:38', 'latitude': 60.26, 'lake_name': 'Kasba', 'longitude': -102.15, 'identifier': 'L_kasba', 'start_date': '2002-10-22 17:39'}"
86,87,Khanka,hydroweb,"{'basin': 'Amur', 'source': 'hydroweb', 'status': 'operational', 'country': 'Russia&China', 'end_date': '2020-10-02 10:08', 'latitude': 45.0, 'lake_name': 'Khanka', 'longitude': 132.42, 'identifier': 'L_khanka', 'start_date': '2000-01-24 01:23'}"
87,88,Kikuletwa,hydroweb,"{'basin': 'Pangani', 'source': 'hydroweb', 'status': 'research', 'country': 'Tanzania', 'end_date': '2019-05-12 15:53', 'latitude': -3.71, 'lake_name': 'Kikuletwa', 'longitude': 37.42, 'identifier': 'L_kikuletwa', 'start_date': '2008-07-11 00:36'}"
88,89,Kivu,hydroweb,"{'basin': 'Congo', 'source': 'hydroweb', 'status': 'research', 'country': 'Congo&Rwanda', 'end_date': '2020-04-10 05:24', 'latitude': -1.98, 'lake_name': 'Kivu', 'longitude': 29.13, 'identifier': 'L_kivu', 'start_date': '1995-05-26 15:40'}"
89,90,Kokonor,hydroweb,"{'basin': 'Mongolian', 'source': 'hydroweb', 'status': 'operational', 'country': 'China', 'end_date': '2020-08-23 14:54', 'latitude': 36.92, 'lake_name': 'Kokonor', 'longitude': 100.17, 'identifier': 'L_kokonor', 'start_date': '1995-06-06 05:16'}"
