id_No,lake_name,source
98,Kwania,hydroweb
99,Kyoga,hydroweb
100,Ladoga,hydroweb
101,Lagdo,hydroweb
102,Lagoa_do_patos,hydroweb
103,Langa-co,hydroweb
104,Langano,hydroweb
105,Lixiodain-co,hydroweb
106,Llanquihue,hydroweb
107,Lumajangdong-co,hydroweb
108,Malawi,hydroweb
109,Managua,hydroweb
110,Mangbeto,hydroweb
111,Manitoba,hydroweb
112,Mapam-yamco,hydroweb
113,Maracaibo,hydroweb
114,Mead,hydroweb
115,Michigan,hydroweb
116,Migriggyangzham,hydroweb
117,Mingacevir,hydroweb
118,Moeckeln,hydroweb
119,Mossoul,hydroweb
120,Mweru,hydroweb
121,Naivasha,hydroweb
122,Namco,hydroweb
123,Nasser,hydroweb
124,Nettiling,hydroweb
125,Nezahualcoyoti,hydroweb
126,Ngangla-ringco,hydroweb
127,Ngangze,hydroweb
128,Ngoring-co,hydroweb
129,Nicaragua,hydroweb
130,Novosibirskoye,hydroweb
131,Nueltin,hydroweb
132,Nyuk,hydroweb
133,Oahe,hydroweb
134,Okanagan,hydroweb
135,Old-wives,hydroweb
136,Onega,hydroweb
137,Ontario,hydroweb
138,Opinac,hydroweb
139,Oulu,hydroweb
140,Peipus,hydroweb
141,Poopo,hydroweb
142,Poyang,hydroweb
143,Pung-co,hydroweb
144,Qadisiyah,hydroweb
145,Razazah,hydroweb
146,Roseires,hydroweb
147,Rukwa,hydroweb
148,Rybinskoye,hydroweb
149,Saint_jean,hydroweb
150,Sakakawea,hydroweb
151,Saksak,hydroweb
152,Salton,hydroweb
153,Sandy,hydroweb
154,San_martin,hydroweb
155,Saratovskoye,hydroweb
156,Sarykamish,hydroweb
157,Sasykkol,hydroweb
158,Saysan,hydroweb
159,Segozerskoye,hydroweb
160,Sevan,hydroweb
161,Sobradino,hydroweb
162,Soungari,hydroweb
163,Sterkfontein,hydroweb
164,Superior,hydroweb
165,Taihu,hydroweb
166,Tana,hydroweb
167,Tanganika,hydroweb
168,Tangra-yumco,hydroweb
169,Taro-co,hydroweb
170,Tchad,hydroweb
171,Tchany,hydroweb
172,Tharthar,hydroweb
173,Titicaca,hydroweb
174,Todos_los_santos,hydroweb
175,Toktogul,hydroweb
176,Tres_marias,hydroweb
177,Tsimlyanskoye,hydroweb
178,Tucurui,hydroweb
179,Turkana,hydroweb
180,Udyl,hydroweb
181,Ulan-ul,hydroweb
182,Ulungur,hydroweb
183,Urmia,hydroweb
184,Urru-co,hydroweb
185,Uvs,hydroweb
186,Vagatozero,hydroweb
187,Van,hydroweb
188,Vanerm,hydroweb
189,Verkhnee-kuyto,hydroweb
190,Victoria,hydroweb
191,Vidoestern,hydroweb
192,Viedma,hydroweb
193,Volta,hydroweb
194,Vygozero,hydroweb
195,Williston,hydroweb
196,Winnipeg,hydroweb
197,Winnipegosis,hydroweb
198,Xuelian-hu,hydroweb
199,Yanis-yarvi,hydroweb
200,Yellowstone,hydroweb
201,Zeyskoye,hydroweb
202,Zhari-namco,hydroweb
203,Zige-tangco,hydroweb
204,Ziling,hydroweb
205,Zimbambo,hydroweb
206,Ziway,hydroweb
207,"West Grand Lake at Grand Lake Stream, Maine",usgs
208,"Lewy Lake at Princeton, Maine",usgs
209,"Umbagog Lake at Birch Camp, at Magalloway Plt, ME",usgs
210,"Umbagog Lake nr Dead Cambridge inlet, at Upton, ME",usgs
211,"Umbagog Lake near Tyler Cove, near Upton, ME",usgs
212,"Sebago Lake near North Windham, Maine",usgs
213,"Pawtuckaway Lake near Nottingham, NH",usgs
214,"LAKE WINNIPESAUKEE AT WEIRS BEACH, NH",usgs
215,"LAKE COCHITUATE AT FRAMINGHAM, MA",usgs
216,"CONANT BROOK RESERVOIR NEAR SOUTH MONSON, MA",usgs
217,LAUREL LAKE NEAR MATTITUCK NY,usgs
218,"LONG POND NEAR SAG HARBOR, NY",usgs
219,"Hook Pond (QW Site 10) at East Hampton, NY",usgs
220,"GEORGICA POND AT MIDHAMPTON, NY",usgs
221,GEORGICA POND NEAR APAQUOQUE NY,usgs
222,INDIAN LAKE NEAR INDIAN LAKE NY,usgs
223,GREAT SACANDAGA LAKE AT CONKLINGVILLE NY,usgs
224,SARATOGA LAKE AT STATE HWY 9P AT SARATOGA LAKE NY,usgs
225,DELTA RESERVOIR NEAR ROME NY,usgs
226,HINCKLEY RESERVOIR AT HINCKLEY NY,usgs
227,SCHOHARIE RESERVOIR NEAR GRAND GORGE NY,usgs
228,ASHOKAN RESERVOIR AT ASHOKAN NY,usgs
229,RONDOUT RESERVOIR AT LACKAWACK NY,usgs
230,"OHRBACK LAKE AT RICHMOND, STATEN ISLAND NY",usgs
231,"CLOVE LAKE AT SUNNYSIDE, STATEN ISLAND NY",usgs
232,Lake Tappan at Old Tappan NJ,usgs
233,Woodcliff Lake at Hillsdale NJ,usgs
234,Oradell Reservoir at Oradell NJ,usgs
235,Boonton Reservoir at Boonton NJ,usgs
236,Greenwood Lake at Awosting NJ,usgs
237,Wanaque Reservoir at Wanaque NJ,usgs
238,Ramapo River above dam at Pompton Lakes NJ,usgs
239,Spruce Run Reservoir at Clinton NJ,usgs
240,Swimming River Reservoir near Red Bank NJ,usgs
241,PEPACTON RESERVOIR NEAR DOWNSVILLE NY,usgs
242,CANNONSVILLE RESERVOIR NEAR STILESVILLE NY,usgs
243,"Prompton Reservoir at Prompton, PA",usgs
244,"General Edgar Jadwin Reservoir near Honesdale, PA",usgs
245,SWINGING BRIDGE RESERVOIR NEAR FOWLERSVILLE NY,usgs
246,TORONTO RESERVOIR NEAR BLACK LAKE NY,usgs
247,CLIFF LAKE NEAR FOWLERSVILLE NY,usgs
248,NEVERSINK RESERVOIR NEAR NEVERSINK NY,usgs
249,"Francis E. Walter Reservoir near White Haven, PA",usgs
250,Lake Hopatcong at Landing NJ,usgs
251,"Chambers Lake near Wagontown, PA",usgs
252,"Struble Lake near Honey Brook, PA",usgs
253,"GARRISONS LAKE NEAR CHESWOLD, DE",usgs
254,"HAVEN LAKE OUTLET AT MILFORD, DE",usgs
255,"HEARNS POND NEAR SEAFORD, DE",usgs
256,"PEARCE CREEK AT CRYSTAL BEACH, MD",usgs
257,EAST SIDNEY LAKE AT EAST SIDNEY NY,usgs
258,WHITNEY POINT LAKE AT WHITNEY POINT NY,usgs
259,"Tioga Lake at Tioga Dam at Tioga, PA",usgs
260,"Hammond Lake at Hammond Dam at Tioga, PA",usgs
261,"Cowanesque Lake at Lawrenceville, PA",usgs
262,ARKPORT RESERVOIR NEAR ARKPORT NY,usgs
263,ALMOND LAKE NEAR ALMOND NY,usgs
264,"Stillwater Lake near Forest City, PA",usgs
265,"Aylesworth Creek Lake at Jermyn, PA",usgs
266,First Fork Sinnemahoning Creek Reservoir,usgs
267,"Kettle Cr Lake at Kettle Cr Dam near Westport, PA",usgs
268,"ATKISSON RESERVOIR NEAR BEL AIR, MD",usgs
269,"LAKE DRUMMOND IN GREAT DISMAL SWAMP, VA",usgs
270,"PHILPOTT RES AT PHILPOTT DAM NR PHILPOTT, VA",usgs
271,"HYCO LAKE AT DAM NR ROXBORO, NC",usgs
272,"AFTERBAY RESERVOIR AT DAM NR MCGEHEES MILL, NC",usgs
273,"ISLAND CREEK RESERVOIR AT DAM NEAR CLARKSVILLE, VA",usgs
274,"JOHN H. KERR RESERVOIR AT DAM NEAR BOYDTON, VA",usgs
275,"LAKE MATTAMUSKEET W OF NC HWY 94 NR FAIRFIELD, NC",usgs
276,"LAKE MATTAMUSKEET E OF NC HWY 94 NR FAIRFIELD, NC",usgs
277,"FALLS LAKE ABOVE DAM NR FALLS, NC",usgs
278,"LAKE JOHNSON ABOVE DAM AT RALEIGH, NC",usgs
279," B. EVERETT JORDAN LAKE AT DAM NR MONCURE, NC",usgs
280,"BONNIE DOONE LAKE AT DAM NR BONNIE DOOONE, NC",usgs
281,"W. KERR SCOTT RESERVOIR AT DAM NR WILKESBORO, NC",usgs
282,"GASTON SHOALS RESERVOIR ABOVE BLACKSBURG, SC",usgs
283,"NINETYNINE ISLAND RES. BELOW CHEROKEE FALLS, SC",usgs
284,"NEAL SHOALS RESERVOIR NEAR CARLISLE, SC",usgs
285,"TABLE ROCK RESERVOIR NR CLEVELAND, SC",usgs
286,"NORTH SALUDA RESERVOIR NEAR TIGERVILLE,SC",usgs
287,"LAKE MARION NEAR ELLOREE, SC",usgs
288,"LK MOULTRIE AT REDIVERSION NR RUSSELLVILLE, SC",usgs
289,"LAKE MOULTRIE NEAR PINOPOLIS, SC",usgs
290,"LAKE MOULTRIE NEAR PINOPOLIS, SC (TAILRACE)",usgs
291,"LAKE KEOWEE NEAR SIX MILE, SC",usgs
292,"HARTWELL LAKE NEAR ANDERSON, SC",usgs
293,"RUSSELL LAKE ABOVE CALHOUN FALLS, SC",usgs
294,"R B RUSSELL LAKE NR CALHOUN FALLS, SC",usgs
295,"R B RUSSELL TAILRACE NR CALHOUN FALLS, SC",usgs
296,"THURMOND LAKE NEAR PLUM BRANCH, SC",usgs
297,"SAVANNAH RVR AT STEVENS CREEK DAM NR MORGANA, SC",usgs
298,"SAVANNAH RVR BELW STEVENS CRK DAM NR MORGANA, SC",usgs
299,"BUTLER CREEK RESERVOIR AT FORT GORDON, GA",usgs
300,SAVANNAH RV ABOVE NEW SAV. LOCK AND DAM,usgs
301,"RANDY POYNTER LAKE AT SPILLWAY, NEAR MILSTEAD, GA",usgs
302,"OCEAN POND AT OLUSTEE, FLA.",usgs
303,"PALESTINE LAKE NR OLUSTEE,FL",usgs
304,"BLUE CYPRESS LAKE NR FELLSMERE, FLA.",usgs
305,"LAKE WASHINGTON NEAR EAU GALLIE, FLA.",usgs
306,"LAKE POINSETT NEAR COCOA, FLA.",usgs
307,"CLEAR LAKE NR COCOA, FLA.",usgs
308,"LAKE SUSANNAH NEAR ORLANDO, FLA.",usgs
309,LAKE SPIER NEAR ORLANDO FLA,usgs
310,"LAKE CORRINE NEAR ORLANDO, FLA.",usgs
311,"LAKE CATHERINE AT CHULUOTA, FLA.",usgs
312,"LAKE GENEVA AT GENEVA, FLA.",usgs
313,"LAKE WINNEMISSETT NEAR DELAND, FL",usgs
314,"SPRING LAKE AT ORLANDO, FLA.",usgs
315,"LAKE ADAIR AT ORLANDO, FLA.",usgs
316,"PARK LAKE AT ORLANDO, FLA.",usgs
317,"LAKE CONCORD AT ORLANDO, FLA.",usgs
318,"LAKE HIGHLAND AT ORLANDO, FLA.",usgs
319,"LAKE IVANHOE AT ORLANDO, FLA.",usgs
320,"LAKE ROWENA AT ORLANDO, FLA.",usgs
321,"LAKE SUE AT ORLANDO, FLA.",usgs
322,"LAKE VIRGINIA AT WINTER PARK, FL",usgs
323,"LAKE CHARITY NR MAITLAND, FLA.",usgs
324,"LAKE FAITH AT MAITLAND, FLA.",usgs
325,"LAKE HOPE AT MAITLAND, FLA.",usgs
326,"LAKE MAITLAND AT WINTER PARK, FLA.",usgs
327,"LAKE HOWELL NR CASSELBERRY, FLA.",usgs
328,"GRACE LAKE AT LONGWOOD, FLA.",usgs
329,"LAKE MYRTLE NR LONGWOOD, FLA.",usgs
330,"ISLAND LAKE AT LONGWOOD, FLA.",usgs
331,"LAKE KATHRYN AT CASSELBERRY, FL",usgs
332,"LAKE ADA AT SANFORD, FLA.",usgs
333,"LAKE MARY AT LAKE MARY, FLA.",usgs
334,"LAKE CHARM AT OVIEDO, FL",usgs
335,"LAKE JESUP NEAR SANFORD, FL",usgs
336,"LAKE DUPONT NR LAKE HELEN, FLA.",usgs
337,"LAKE MONROE NEAR SANFORD, FL",usgs
338,"LAKE BRANTLEY NR FOREST CITY, FLA.",usgs
339,"LAKE SILVER AT ORLANDO, FLA.",usgs
340,"LITTLE LAKE FAIRVIEW AT ORLANDO, FLA.",usgs
341,"LAKE WEKIVA NR MAITLAND, FLA.",usgs
342,"LAKE HERRICK NR ORLANDO, FLA.",usgs
343,"LAKE SHERWOOD NR ORLANDO, FLA.",usgs
344,LAKE JOHIO NEAR OCOEE. FL,usgs
345,"BEAR LAKE NR FOREST CITY, FLA.",usgs
346,"LAKE ORIENTA AT ALTAMONTE SPRINGS, FLA.",usgs
347,"CRANES ROOST AT ALTAMONTE SPRINGS, FLA.",usgs
348,"ELEVENTH HOLE POND AT ALTAMONTE SPRINGS, FLA.",usgs
349,"LINDEN LAKE AT LAKE MARY, FLA.",usgs
350,"LAKE DORR NEAR ALTOONA, FLA.",usgs
351,"MOUNT PLYMOUTH LAKE AT MOUNT PLYMOUTH,FL",usgs
352,"PINE LAKE NR CASSIA, FLA.",usgs
353,"LAKE DELANCY NEAR EUREKA, FLA.",usgs
354,"LAKE KERR NEAR EUREKA, FLA.",usgs
355,"LAKE GEORGE NR SALT SPRINGS, FLA.",usgs
356,"LAKE LOWERY NR HAINES CITY, FLA.",usgs
357,"LAKE NELLIE NEAR CLERMONT, FL",usgs
358,"LAKE LOUISA NEAR CLERMONT,FL",usgs
359,"LAKE MINNEHAHA AT CLERMONT, FL",usgs
360,"LAKE APSHAWA NR MINNEOLA, FLA.",usgs
361,"CHERRY LAKE NR GROVELAND, FLA.",usgs
362,"PITTS POND NR OKAHUMPKA, FLA.",usgs
363,"CHURCH LAKE NEAR GROVELAND, FL",usgs
364,"LAKE HARRIS AT LEESBURG, FLA.",usgs
365,"JOHNS LAKE AT OAKLAND, FLA.",usgs
366,"LAKE FLORENCE AT MONTEVERDE, FLA.",usgs
367,"LAKE APOPKA AT WINTER GARDEN, FLA.",usgs
368,"LAKE FRANCIS NR PLYMOUTH, FLA.",usgs
369,"LAKE DICIE AT EUSTIS, FLA.",usgs
370,"WEST CROOKED LAKE NEAR EUSTIS, FL",usgs
371,"LAKE DORA AT MOUNT DORA, FLA.",usgs
372,"LAKE UMATILLA AT UMATILLA, FL",usgs
373,"LAKE EUSTIS AT EUSTIS, FLA.",usgs
374,"SILVER LAKE NR LEESBURG, FL",usgs
375,"NICOTOON LAKE NEAR ALTOONA, FLA.",usgs
376,"HOLLY LAKE NEAR UMATILLA, FL",usgs
377,"LAKE YALE AT GRAND ISLAND, FLA.",usgs
378,"LAKE GRIFFIN AT LEESBURG, FLA.",usgs
379,"LAKE WEIR NEAR WEIRSDALE, FL",usgs
380,"LAKE BRYANT NR SILVER SPRINGS, FLA.",usgs
381,"NEWNANS LAKE NR GAINESVILLE, FLA.",usgs
382,"LAKE KANAPAHA AT ARREDONDO, FLA.",usgs
383,"BIVANS ARM NR GAINESVILLE, FLA.",usgs
384,"LOCHLOOSA LAKE AT LOCHLOOSA, FLA.",usgs
385,"ORANGE LAKE AT ORANGE LAKE, FLA.",usgs
386,"LAKE OCKLAWAHA NR ORANGE SPRINGS, FLA.",usgs
387,"LAKE WINONA NR DE LAND, FLA.",usgs
388,"LAKE HIRES NR DE LAND, FLA.",usgs
389,"LAKE BARCO NEAR MELROSE, FL",usgs
390,"SAND HILL LAKE NEAR KEYSTONE HEIGHTS,FL",usgs
391,"MAGNOLIA LAKE NR KEYSTONE HEIGHTS, FLA.",usgs
392,"LOCH LOMMOND NR KEYSTONE HEIGHTS, FLA.",usgs
393,"BROOKLYN LAKE AT KEYSTONE HEIGHTS, FLA.",usgs
394,CRYSTAL LK NR KEYSTONE HGTS FLA,usgs
395,"LAKE BEDFORD NR KEYSTONE HEIGHTS, FL",usgs
396,"LAKE GENEVA AT KEYSTONE HEIGHTS, FLA.",usgs
397,"PEBBLE LAKE NR KEYSTONE HEIGHTS, FLA.",usgs
398,LT LAKE JOHNSON NR KEYSTONE HGTS FLA,usgs
399,"LAKE JOHNSON NR KEYSTONE HEIGHTS, FLA.",usgs
400,"SPRING LAKE NR KEYSTONE HEIGHTS, FL",usgs
401,"LAKE GRANDIN NR INTERLACHEN, FLA.",usgs
402,GEORGES LAKE NEAR FLORAHOME FLA,usgs
403,"KINGSLEY LAKE AT CAMP BLANDING, FLA.",usgs
404,"ALLIGATOR LAKE NEAR ASHTON, FL",usgs
405,"LAKE MARY JANE NR NARCOOSSEE, FLA.",usgs
406,"LAKE HART NR NARCOOSSEE, FLA.",usgs
407,BASS LK NR ORLANDO FLA,usgs
408,"LAKE CONWAY AT PINE CASTLE, FLA.",usgs
409,"EAST LAKE TOHOPEKALIGA AT ST. CLOUD, FLA.",usgs
410,"BIG SAND LAKE AT DR. PHILLIPS, FLA.",usgs
411,"BAY LAKE NEAR VINELAND, FL",usgs
412,"SOUTH LAKE NEAR VINELAND, FL",usgs
413,"LAKE BESSIE AT WINDERMERE, FLA.",usgs
414,"LAKE BUTLER AT WINDERMERE, FL",usgs
415,"LAKE TOHOPEKALIGA AT KISSIMMEE, FL",usgs
416,"LAKE GENTRY NR ST. CLOUD, FLA.",usgs
417,"TROUT LAKE NEAR CLERMONT, FL",usgs
418,"CYPRESS LAKE NEAR ST. CLOUD, FL",usgs
419,"LAKE MARION NEAR HAINES CITY, FL",usgs
420,"LAKE PIERCE NEAR WAVERLY, FL",usgs
421,SWIM LAKE NEAR ALCOMA FL,usgs
422,"LAKE HATCHINEHA NR LAKE WALES, FLA.",usgs
423,LAKE WALES AT LAKE WALES FL,usgs
424,"LAKE WEOHYAKAPKA AT INDIAN LAKE ESTATES, FL",usgs
425,"LAKE ROSALIE NEAR LAKE WALES, FL",usgs
426,"LAKE MARIAN NEAR KENANSVILLE, FL",usgs
427,"LAKE KISSIMMEE NR LAKE WALES, FLA.",usgs
428,SADDLE BLANKET LAKE (WEST) NEAR FROSTPROOF FL,usgs
429,LAKE OLIVIA AT AVON PARK FL,usgs
430,LAKE ISIS AT AVON PARK FL,usgs
431,CROOKED LAKE NEAR BABSON PARK FL,usgs
432,LAKE CLINCH AT FROSTPROOF FL,usgs
433,REEDY LAKE NEAR FROSTPROOF FL,usgs
434,"LAKE ARBUCKLE NEAR AVON PARK, FL",usgs
435,LAKE LOTELA NEAR AVON PARK FL,usgs
436,LAKE LETTA NEAR AVON PARK FL,usgs
437,LAKE JACKSON AT SEBRING FL,usgs
438,LAKE JOSEPHINE NEAR DE SOTO CITY FL,usgs
439,LAKE ANNIE NEAR LAKE PLACID FL,usgs
440,LAKE PLACID NEAR LAKE PLACID FL,usgs
441,LAKE JUNE-IN-WINTER NEAR LAKE PLACID FL,usgs
442,LAKE FRANCIS NEAR LAKE PLACID FL,usgs
443,GRASSY LAKE NEAR LAKE PLACID FL,usgs
444,MIRROR LAKE NEAR LAKE PLACID FL,usgs
445,LAKE MCCOY NEAR LAKE PLACID FL,usgs
446,LAKE HUNTLEY NEAR LAKE PLACID FL,usgs
447,LAKE CLAY NEAR LAKE PLACID FL,usgs
448,LAKE APTHORPE NEAR LAKE PLACID FL,usgs
449,"LAKE ISTOKPOGA NEAR DE SOTO CITY, FL",usgs
450,"LAKE OKEECHOBEE, FL",usgs
451,"LAKE TRAFFORD NR IMMOKALEE, FLA.",usgs
452,CHARLOTTE HARBOR AT PORT BOCA GRANDE FL,usgs
453,"LAKE ALFRED AT LAKE ALFRED, FLA.",usgs
454,LAKE GEORGE AT LAKE ALFRED FL,usgs
455,LAKE SMART NEAR FLORENCE VILLA FL,usgs
456,LAKE FANNIE NEAR FLORENCE VILLA FL,usgs
457,LAKE HENRY NEAR HAINES CITY FL,usgs
458,LAKE OTIS AT WINTER HAVEN FL,usgs
459,LAKE ANNIE AT WAVERLY FL,usgs
460,LAKE STARR AT WAVERLY FL,usgs
461,MOUNTAIN LAKE NEAR LAKE WALES FL,usgs
462,LAKE EFFIE AT LAKE WALES FL,usgs
463,LAKE RUBY NEAR WAVERLY FL,usgs
464,LAKE MYRTLE NEAR LAKE WALES FL,usgs
465,DEER LAKE NEAR WINTER HAVEN FL,usgs
466,LAKE CANNON AT WINTER HAVEN FL,usgs
467,LAKE HOWARD AT WINTER HAVEN FL,usgs
468,ROUND LAKE NEAR WINTER HAVEN FL,usgs
469,LAKE ELOISE NEAR ELOISE FL,usgs
470,LAKE LULU NEAR ELOISE FL,usgs
471,LAKE MCLEOD AT EAGLE LAKE FL,usgs
472,LK GARFIELD NEAR ALTURAS FL,usgs
473,"LAKE GIBSON NR LAKELAND, FLA.",usgs
474,LAKE PARKER AT LAKELAND FL,usgs
475,"LAKE ARIETTA NEAR AUBURNDALE, FL",usgs
476,"LAKE WHISTLER NEAR AUBURNDALE, FL",usgs
477,"ARIANA LAKE AT AUBURNDALE, FL",usgs
478,LAKE LENA AT AUBURNDALE FL,usgs
479,LAKE HOLLINGSWORTH AT LAKELAND FL,usgs
480,BANANA LAKE NEAR HIGHLAND CITY FL,usgs
481,GRASSY LAKE NEAR EAGLE LAKE FL,usgs
482,EAGLE LAKE AT EAGLE LAKE FL,usgs
483,LAKE HANCOCK NEAR HIGHLAND CITY FL,usgs
484,LAKE BUFFUM NEAR ALTURAS FL,usgs
485,LOWER MYAKKA LAKE NEAR SARASOTA FL,usgs
486,WARD LAKE NEAR BRADENTON FL,usgs
487,LAKE WIMAUMA AT WIMAUMA FL,usgs
488,SCOTT LAKE NEAR LAKELAND FL,usgs
489,EDWARD MEDARD RESERVOIR AT PLEASANT GROVE FL,usgs
490,VALRICO LAKE AT VALRICO FL,usgs
491,LAKE THONOTOSASSA NEAR THONOTOSASSA FL,usgs
492,DEANE LAKE NEAR DREXEL FL,usgs
493,CURVE LAKE NEAR DREXEL FL,usgs
494,HANNA LAKE NEAR LUTZ FL,usgs
495,KING LAKE AT DREXEL FL,usgs
496,LAKE PADGETT NEAR LUTZ FL,usgs
497,EAST LAKE NEAR DREXEL FL,usgs
498,LAKE KELL NEAR LUTZ FL,usgs
499,KEENE LAKE NEAR LUTZ FL,usgs
500,LAKE STEMPER NEAR LUTZ FL,usgs
501,LAKE HOBBS AT LUTZ FL,usgs
502,COOPER LAKE NEAR LUTZ FL,usgs
503,NORTH CRYSTAL LAKE NEAR LUTZ FL,usgs
504,CRYSTAL LAKE NEAR LUTZ FL,usgs
505,LAKE CRENSHAW NEAR LUTZ FL,usgs
506,SADDLEBACK LAKE NEAR LUTZ FL,usgs
507,ROUND LAKE NEAR LUTZ FL,usgs
508,BRANT LAKE NEAR LUTZ FL,usgs
509,LAKE CHARLES NEAR LUTZ FL,usgs
510,PLATT LAKE NEAR LUTZ FL,usgs
511,CHAPMAN LAKE NEAR LUTZ FL,usgs
512,LAKE MAGDALENE NEAR LUTZ FL,usgs
513,BAY LAKE NEAR SULPHUR SPRINGS FL,usgs
514,LAKE ELLEN NEAR SULPHUR SPRINGS FL,usgs
515,LAKE LIPSEY NEAR SULPHUR SPRINGS FL,usgs
516,LAKE CARROLL NEAR SULPHUR SPRINGS FL,usgs
517,WHITE TROUT LAKE NEAR SULPHUR SPRINGS FL,usgs
518,BROWNS LAKE NEAR LUTZ FL,usgs
519,LAKE HARVEY NEAR LUTZ FL,usgs
520,LAKE THOMAS NEAR LUTZ FL,usgs
521,LAKE ALLEN NEAR LUTZ FL,usgs
522,TURKEY FORD LAKE NEAR LUTZ FL,usgs
523,PRETTY LAKE NEAR CITRUS PARK FL,usgs
524,HALF MOON LAKE NEAR CITRUS PARK FL,usgs
525,VAN DYKE LAKE NEAR LUTZ FL,usgs
526,DOSSON LAKE NEAR LUTZ FL,usgs
527,STARVATION LAKE NEAR LUTZ FL,usgs
528,UNNAMED LAKE AT LAKE PARK NEAR LUTZ FL,usgs
529,GLASS LAKE NEAR LAKE FERN FL,usgs
530,"MOUND LAKE NR ODESSA, FL",usgs
531,CALM LAKE NEAR ODESSA FL,usgs
532,KEYSTONE LAKE NEAR ODESSA FL,usgs
533,CRESCENT LAKE NEAR ODESSA FL,usgs
534,ISLAND FORD LAKE NEAR ODESSA FL,usgs
535,SUNSET LAKE NEAR LAKE FERN FL,usgs
536,LAKE ALICE NEAR ODESSA FL,usgs
537,LAKE TAYLOR NEAR ODESSA FL,usgs
538,LAKE JUANITA NEAR CITRUS PARK FL,usgs
539,RAINBOW LAKE NEAR CITRUS PARK FL,usgs
540,CHURCH LAKE NEAR CITRUS PARK FL,usgs
541,ECHO LAKE NEAR CITRUS PARK FL,usgs
542,BUCK LAKE NEAR LAKE FERN FL,usgs
543,LAKE TARPON NEAR TARPON SPRINGS FL,usgs
544,ALLIGATOR LAKE AT SAFETY HARBOR FL,usgs
545,ROOSEVELT RESERVOIR AT OUTFALL NR PINELLAS PK FL,usgs
546,SAWGRASS LAKE NEAR PINELLAS PARK FL,usgs
547,LAKE MAGGIORE AT ST. PETERSBURG FL,usgs
548,SEMINOLE LAKE NEAR LARGO FL,usgs
549,LAKE THOMAS AT DREXEL FL,usgs
550,LAKE LINDA AT DENHAM FL,usgs
551,CAMP LAKE NEAR DENHAM FL,usgs
552,BLACK LAKE NEAR ODESSA FL,usgs
553,PARKER LAKE NEAR ODESSA FL,usgs
554,LAKE DAN NEAR ODESSA FL,usgs
555,CREWS LAKE (NORTH) NEAR LOYCE FL,usgs
556,LAKE IOLA NEAR SAN ANTONIO FL,usgs
557,CREWS LAKE SOUTH NEAR LOYCE FL,usgs
558,MOON LAKE NEAR NEW PORT RICHEY FL,usgs
